((0.075, -0.04), 9700)
((0.075, -0.03), 11600)
((0.075, -0.02), 14900)
((0.075, -0.01), 19600)
((0.075, 0.0), 22800)
((0.075, 0.01), 25800)
((0.075, 0.02), 26800)
((0.075, 0.03), 27700)
((0.075, 0.04), 27900)
((0.075, 0.05), 25600)
((0.075, 0.06), 22900)
((0.075, 0.07), 20600)
((0.075, 0.08), 17600)
((0.075, 0.09), 15900)
((0.075, 0.1), 11700)
((0.075, 0.11), 8800)
((0.075, 0.12), 6800)
((0.075, 0.13), 4900)
((0.075, 0.14), 3600)
((0.085, -0.1), 2600)
((0.085, -0.09), 2800)
((0.085, -0.08), 3700)
((0.085, -0.07), 5400)
((0.085, -0.06), 8300)
((0.085, -0.05), 10400)
((0.085, -0.04), 12700)
((0.085, -0.03), 16200)
((0.085, -0.02), 21300)
((0.085, -0.01), 25400)
((0.085, 0.0), 30000)
((0.085, 0.01), 33000)
((0.085, 0.02), 37000)
((0.085, 0.03), 37600)
((0.085, 0.04), 35800)
((0.085, 0.05), 35400)
((0.085, 0.06), 33800)
((0.085, 0.07), 28200)
((0.085, 0.08), 24300)
((0.085, 0.09), 20400)
((0.085, 0.1), 15200)
((0.085, 0.11), 12800)
((0.085, 0.12), 9400)
((0.085, 0.13), 6500)
((0.085, 0.14), 4700)
((0.095, -0.1), 3200)
((0.095, -0.09), 3200)
((0.095, -0.08), 4600)
((0.095, -0.07), 7100)
((0.095, -0.06), 11400)
((0.095, -0.05), 13700)
((0.095, -0.04), 17400)
((0.095, -0.03), 21500)
((0.095, -0.02), 26400)
((0.095, -0.01), 33000)
((0.095, 0.0), 38800)
((0.095, 0.01), 43400)
((0.095, 0.02), 46300)
((0.095, 0.03), 47800)
((0.095, 0.04), 46600)
((0.095, 0.05), 45600)
((0.095, 0.06), 43600)
((0.095, 0.07), 36400)
((0.095, 0.08), 31900)
((0.095, 0.09), 27300)
((0.095, 0.1), 20300)
((0.095, 0.11), 16100)
((0.095, 0.12), 12400)
((0.095, 0.13), 8200)
((0.095, 0.14), 6200)
((0.105, -0.1), 3900)
((0.105, -0.09), 3900)
((0.105, -0.08), 5800)
((0.105, -0.07), 9400)
((0.105, -0.06), 14000)
((0.105, -0.05), 18400)
((0.105, -0.04), 23600)
((0.105, -0.03), 28900)
((0.105, -0.02), 35100)
((0.105, -0.01), 41000)
((0.105, 0.0), 50400)
((0.105, 0.01), 55600)
((0.105, 0.02), 59600)
((0.105, 0.03), 60800)
((0.105, 0.04), 59800)
((0.105, 0.05), 56400)
((0.105, 0.06), 53600)
((0.105, 0.07), 48900)
((0.105, 0.08), 41700)
((0.105, 0.09), 34100)
((0.105, 0.1), 26000)
((0.105, 0.11), 20000)
((0.105, 0.12), 15800)
((0.105, 0.13), 9800)
((0.105, 0.14), 7500)
((0.115, -0.1), 5000)
((0.115, -0.09), 5300)
((0.115, -0.08), 6900)
((0.115, -0.07), 10800)
((0.115, -0.06), 18600)
((0.115, -0.05), 23800)
((0.115, -0.04), 29400)
((0.115, -0.03), 33600)
((0.115, -0.02), 40700)
((0.115, -0.01), 50900)
((0.115, 0.0), 60100)
((0.115, 0.01), 64600)
((0.115, 0.02), 69800)
((0.115, 0.03), 71500)
((0.115, 0.04), 69400)
((0.115, 0.05), 67700)
((0.115, 0.06), 64300)
((0.115, 0.07), 58300)
((0.115, 0.08), 50900)
((0.115, 0.09), 44400)
((0.115, 0.1), 36300)
((0.115, 0.11), 26900)
((0.115, 0.12), 19900)
((0.115, 0.13), 13100)
((0.115, 0.14), 10300)
((0.125, -0.1), 5100)
((0.125, -0.09), 5200)
((0.125, -0.08), 8200)
((0.125, -0.07), 13200)
((0.125, -0.06), 22400)
((0.125, -0.05), 27300)
((0.125, -0.04), 31500)
((0.125, -0.03), 36700)
((0.125, -0.02), 50600)
((0.125, -0.01), 62700)
((0.125, 0.0), 71000)
((0.125, 0.01), 76400)
((0.125, 0.02), 80700)
((0.125, 0.03), 80700)
((0.125, 0.04), 79900)
((0.125, 0.05), 79600)
((0.125, 0.06), 74300)
((0.125, 0.07), 66300)
((0.125, 0.08), 58500)
((0.125, 0.09), 51100)
((0.125, 0.1), 40800)
((0.125, 0.11), 29300)
((0.125, 0.12), 24000)
((0.125, 0.13), 17300)
((0.125, 0.14), 11600)
((0.135, -0.1), 5800)
((0.135, -0.09), 6000)
((0.135, -0.08), 8800)
((0.135, -0.07), 15700)
((0.135, -0.06), 25200)
((0.135, -0.05), 31000)
((0.135, -0.04), 39100)
((0.135, -0.03), 46200)
((0.135, -0.02), 57100)
((0.135, -0.01), 69100)
((0.135, 0.0), 78900)
((0.135, 0.01), 84800)
((0.135, 0.02), 88500)
((0.135, 0.03), 89900)
((0.135, 0.04), 89700)
((0.135, 0.05), 87800)
((0.135, 0.06), 82500)
((0.135, 0.07), 76300)
((0.135, 0.08), 68500)
