((-0.19, 0.01), 26800)
((-0.19, 0.02), 28400)
((-0.19, 0.03), 30800)
((-0.19, 0.04), 26000)
((-0.19, 0.05), 17800)
((-0.19, 0.06), 12500)
((-0.19, 0.07), 9400)
((-0.19, 0.08), 6600)
((-0.19, 0.09), 4800)
((-0.18, -0.1), 21300)
((-0.18, -0.09), 19700)
((-0.18, -0.08), 17900)
((-0.18, -0.07), 16400)
((-0.18, -0.06), 15300)
((-0.18, -0.05), 14900)
((-0.18, -0.04), 15200)
((-0.18, -0.03), 16300)
((-0.18, -0.02), 18200)
((-0.18, -0.01), 21200)
((-0.18, 0.0), 25300)
((-0.18, 0.01), 27200)
((-0.18, 0.02), 28900)
((-0.18, 0.03), 31100)
((-0.18, 0.04), 26800)
((-0.18, 0.05), 18200)
((-0.18, 0.06), 13400)
((-0.18, 0.07), 8800)
((-0.18, 0.08), 6800)
((-0.18, 0.09), 4900)
((-0.17, -0.1), 22200)
((-0.17, -0.09), 21400)
((-0.17, -0.08), 18700)
((-0.17, -0.07), 17100)
((-0.17, -0.06), 15700)
((-0.17, -0.05), 15000)
((-0.17, -0.04), 15100)
((-0.17, -0.03), 16800)
((-0.17, -0.02), 19100)
((-0.17, -0.01), 22200)
((-0.17, 0.0), 25600)
((-0.17, 0.01), 27600)
((-0.17, 0.02), 29200)
((-0.17, 0.03), 30500)
((-0.17, 0.04), 26500)
((-0.17, 0.05), 17400)
((-0.17, 0.06), 12300)
((-0.17, 0.07), 8500)
((-0.17, 0.08), 6500)
((-0.17, 0.09), 4500)
((-0.16, -0.1), 24000)
((-0.16, -0.09), 22700)
((-0.16, -0.08), 20200)
((-0.16, -0.07), 18100)
((-0.16, -0.06), 17100)
((-0.16, -0.05), 16400)
((-0.16, -0.04), 16700)
((-0.16, -0.03), 17900)
((-0.16, -0.02), 19900)
((-0.16, -0.01), 23000)
((-0.16, 0.0), 27500)
((-0.16, 0.01), 29800)
((-0.16, 0.02), 31000)
((-0.16, 0.03), 31900)
((-0.16, 0.04), 24100)
((-0.16, 0.05), 15100)
((-0.16, 0.06), 10500)
((-0.16, 0.07), 7800)
((-0.16, 0.08), 5500)
((-0.16, 0.09), 4100)
((-0.15, -0.1), 25600)
((-0.15, -0.09), 25200)
((-0.15, -0.08), 23300)
((-0.15, -0.07), 21400)
((-0.15, -0.06), 19900)
((-0.15, -0.05), 19300)
((-0.15, -0.04), 19800)
((-0.15, -0.03), 21100)
((-0.15, -0.02), 23900)
((-0.15, -0.01), 27100)
((-0.15, 0.0), 30100)
((-0.15, 0.01), 31700)
((-0.15, 0.02), 32300)
((-0.15, 0.03), 32700)
((-0.15, 0.04), 25400)
((-0.15, 0.05), 15400)
((-0.15, 0.06), 10000)
((-0.15, 0.07), 7500)
((-0.15, 0.08), 5200)
((-0.15, 0.09), 3900)
((-0.14, -0.1), 29900)
((-0.14, -0.09), 29800)
((-0.14, -0.08), 27300)
((-0.14, -0.07), 25500)
((-0.14, -0.06), 24100)
((-0.14, -0.05), 23800)
((-0.14, -0.04), 24000)
((-0.14, -0.03), 25800)
((-0.14, -0.02), 27500)
((-0.14, -0.01), 30600)
((-0.14, 0.0), 32000)
((-0.14, 0.01), 32700)
((-0.14, 0.02), 32300)
((-0.14, 0.03), 29600)
((-0.14, 0.04), 21700)
((-0.14, 0.05), 12800)
((-0.14, 0.06), 8300)
((-0.14, 0.07), 6500)
((-0.14, 0.08), 4500)
((-0.14, 0.09), 3300)
((-0.13, -0.1), 32500)
((-0.13, -0.09), 32200)
((-0.13, -0.08), 31500)
((-0.13, -0.07), 29700)
((-0.13, -0.06), 28600)
((-0.13, -0.05), 28500)
((-0.13, -0.04), 28400)
((-0.13, -0.03), 29900)
((-0.13, -0.02), 31000)
((-0.13, -0.01), 32100)
((-0.13, 0.0), 32500)
((-0.13, 0.01), 29800)
((-0.13, 0.02), 27900)
((-0.13, 0.03), 26900)
((-0.13, 0.04), 18900)
((-0.13, 0.05), 11000)
((-0.13, 0.06), 7200)
((-0.13, 0.07), 5700)
((-0.13, 0.08), 3700)
((-0.13, 0.09), 2900)
((-0.12, -0.1), 30800)
((-0.12, -0.09), 31600)
((-0.12, -0.08), 32600)
((-0.12, -0.07), 32100)
((-0.12, -0.06), 31600)
((-0.12, -0.05), 31400)
((-0.12, -0.04), 31700)
((-0.12, -0.03), 32100)
((-0.12, -0.02), 32500)
((-0.12, -0.01), 31400)
((-0.12, 0.0), 27700)
((-0.12, 0.01), 25600)
((-0.12, 0.02), 24000)
((-0.12, 0.03), 22200)
((-0.12, 0.04), 16500)
((-0.12, 0.05), 10100)
((-0.12, 0.06), 6900)
((-0.12, 0.07), 4900)
((-0.12, 0.08), 3800)
((-0.12, 0.09), 2900)
((-0.11, -0.1), 24000)
((-0.11, -0.09), 26000)
((-0.11, -0.08), 28000)
((-0.11, -0.07), 30100)
((-0.11, -0.06), 31300)
((-0.11, -0.05), 31600)
((-0.11, -0.04), 30800)
((-0.11, -0.03), 30400)
((-0.11, -0.02), 28700)
((-0.11, -0.01), 24900)
((-0.11, 0.0), 21900)
((-0.11, 0.01), 20400)
((-0.11, 0.02), 18300)
((-0.11, 0.03), 17500)
((-0.11, 0.04), 13600)
((-0.11, 0.05), 8400)
((-0.11, 0.06), 6000)
((-0.11, 0.07), 4300)
((-0.11, 0.08), 3100)
((-0.11, 0.09), 2400)
